party_family,year,environment_climate_issue1_sum,environment_climate_issue1_mean,healthcare_issue1_sum,healthcare_issue1_mean,climate_health_sum,climate_health_mean
Liberal,2013.0,45,0.019230769230769232,117,0.05,25,0.010683760683760684
Liberal,2014.0,61,0.013962005035477227,154,0.035248340581368734,27,0.0061799038681620505
Liberal,2015.0,70,0.01338432122370937,191,0.03652007648183556,30,0.0057361376673040155
Liberal,2016.0,51,0.013236439138333765,138,0.03581624708019725,13,0.003373994290163509
Liberal,2017.0,68,0.015847121883010955,172,0.04008389652761594,20,0.004660918200885575
Liberal,2018.0,112,0.023708721422523286,220,0.04657070279424217,33,0.006985605419136325
Liberal,2019.0,199,0.05444596443228454,154,0.04213406292749658,23,0.006292749658002736
Liberal,2020.0,84,0.02390438247011952,489,0.13915765509391007,89,0.025327262379055207
Liberal,2021.0,78,0.03310696095076401,399,0.1693548387096774,51,0.02164685908319185
Liberal,2022.0,57,0.024804177545691905,104,0.04525674499564839,21,0.009138381201044387
Liberal,2023.0,58,0.048576214405360134,49,0.04103852596314908,8,0.006700167504187605
Liberal,2024.0,70,0.0343811394891945,94,0.04616895874263261,32,0.015717092337917484
Radical Right-Wing,2010.0,84,0.013939595087952207,352,0.058413541320942584,59,0.009790906073680716
Radical Right-Wing,2011.0,58,0.011473788328387734,238,0.04708209693372898,39,0.00771513353115727
Radical Right-Wing,2012.0,42,0.008583690987124463,181,0.036991620682607806,32,0.006539955037809115
Radical Right-Wing,2013.0,82,0.015318512983373809,149,0.027834858957593873,34,0.006351578554081823
Radical Right-Wing,2014.0,30,0.006489292667099286,172,0.03720527795803591,20,0.004326195111399524
Radical Right-Wing,2015.0,45,0.008288819303739179,186,0.03426045312212194,36,0.006631055442991343
Radical Right-Wing,2016.0,45,0.00843644544431946,203,0.03805774278215223,39,0.007311586051743532
Radical Right-Wing,2017.0,63,0.012188044109112013,182,0.035209905204101374,27,0.00522344747533372
Radical Right-Wing,2018.0,187,0.02699971123303494,198,0.028587929540860525,42,0.006064106266243142
Radical Right-Wing,2019.0,142,0.027328714395688992,168,0.03233256351039261,30,0.005773672055427252
Radical Right-Wing,2020.0,129,0.017179384738314023,797,0.10613929950725795,92,0.012251964309495272
Radical Right-Wing,2021.0,159,0.01921914662153995,987,0.11930375921672912,103,0.012450139006406383
Radical Right-Wing,2022.0,154,0.021565607057835036,452,0.0632964570788405,79,0.01106287634785044
Radical Right-Wing,2023.0,62,0.018663455749548464,102,0.030704394942805538,19,0.005719446116797111
Radical Right-Wing,2024.0,62,0.013845466726217061,197,0.04399285395265744,50,0.011165698972755694
Social Democracy,2010.0,214,0.027734577501296008,406,0.05261793675479523,27,0.003499222395023328
Social Democracy,2011.0,171,0.023776418242491656,335,0.046579532814238045,27,0.003754171301446051
Social Democracy,2012.0,187,0.02090086062367274,467,0.052196266905107855,45,0.005029618866659215
Social Democracy,2013.0,186,0.020664370625486057,494,0.05488279080102211,61,0.006777024775024997
Social Democracy,2014.0,170,0.017087144436626796,601,0.06040808121419238,63,0.006332294702985224
Social Democracy,2015.0,151,0.018073010173548773,522,0.06247755834829444,45,0.005385996409335727
Social Democracy,2016.0,112,0.0168446382914724,389,0.05850503835163182,20,0.0030079711234772145
Social Democracy,2017.0,172,0.020266289619417933,512,0.0603275597973371,53,0.006244845057146223
Social Democracy,2018.0,236,0.02261619549592717,693,0.06641111643507427,109,0.010445615716339243
Social Democracy,2019.0,389,0.034164763744949936,708,0.06218162655893202,97,0.008519234147198313
Social Democracy,2020.0,328,0.025147588744920648,1993,0.15280226941654526,252,0.01932070842597562
Social Democracy,2021.0,313,0.02770647074444543,1612,0.142692750287687,183,0.016198990882535187
Social Democracy,2022.0,220,0.019410622904535026,542,0.04782071642844538,107,0.009440621139932945
Social Democracy,2023.0,185,0.0211961503208066,419,0.048006416131989,110,0.012603116406966087
Social Democracy,2024.0,178,0.021097546521275334,458,0.05428469835249496,94,0.011141400971909446
Special issue,2010.0,23,0.0756578947368421,1,0.003289473684210526,1,0.003289473684210526
Special issue,2011.0,37,0.11280487804878049,15,0.04573170731707317,0,0.0
Special issue,2012.0,38,0.13333333333333333,21,0.07368421052631578,0,0.0
Special issue,2013.0,32,0.0784313725490196,24,0.058823529411764705,1,0.0024509803921568627
Special issue,2014.0,35,0.07056451612903226,18,0.036290322580645164,2,0.004032258064516129
Special issue,2015.0,35,0.059322033898305086,55,0.09322033898305085,1,0.001694915254237288
Special issue,2016.0,22,0.03942652329749104,33,0.05913978494623656,1,0.0017921146953405018
Special issue,2017.0,27,0.05103969754253308,25,0.04725897920604915,1,0.001890359168241966
Special issue,2018.0,32,0.128,10,0.04,2,0.008
Special issue,2019.0,8,0.03319502074688797,12,0.04979253112033195,1,0.004149377593360996
Special issue,2020.0,6,0.014423076923076924,133,0.31971153846153844,0,0.0
Special issue,2021.0,32,0.05460750853242321,72,0.12286689419795221,1,0.0017064846416382253
Special issue,2022.0,10,0.021141649048625793,30,0.06342494714587738,1,0.0021141649048625794
Special issue,2023.0,4,0.018018018018018018,15,0.06756756756756757,5,0.02252252252252252
Special issue,2024.0,4,0.01762114537444934,19,0.08370044052863436,5,0.022026431718061675
